Citation_ID,Authors,Yr,Title,Journal,Issue,Pages
1,"Cavitt, John F.",2000,Fire and a tallgrass prairie reptile community: Effects on relative abundance and seasonal activity,Journal of Herpetology,34,12-20.
2,"Bultman, T.L and G. W. Uetz.",1982,Abundance and community structure of forest floor spiders following litter manipulation,Oecologia,55,34-41
3,"Schlosser, I.J.",1985,"Flow regime, juvenile abundance, and the assemblage structure of stream fishes",Ecology,66,1484-1490
4,"Brandt, A.",1997,"Abundance, diversity and community patterns of epibenthic- and benthis-boundary layer peracarid crustaceans at 75N off East Greenland",Polar Biology,17,159-174
5,"Jones, K.B.",1981,Effects of grazing on lizard abundance and diversity in Western Arizona,The Southwestern Naturalist,26,107-115
6,"Grossman, G.D.",1982,Dynamics and organization of a rocky intertidal fish assemblage: the persistance and resilience of taxocene structure,The American Naturalist,119,611-637
8,"Dritschilo, W and Erwin, T.L.",1982,Responses in abundance and diversity of cornfield carabid communities to differences in farm practices,Ecology,63,900-904
10,"Petterson, R.B.",1996,Effects of forestry on the abundance and diversity of arboreal spiders in the boreal spruce forest.,Ecography,19,221-228
12,"Menke, S.B.",2003,Lizard community structure across a grassland- creosote bush ecotone in the Chihuahuan desert.,Canadian Journal of Zoology,81,1829-1838
13,"Kretzer, J.E. and Cully, J.F., Jr.",2001,Effects of black-tailed prairie dogs on reptiles and amphibians in Kansas shortgrass prairie.,The Southwest Naturalist,46,171-177
14,"Wilgers, D.J. and Horne, E.A.",2006,"Effects of different burn regimes on tallgrass prairie herpetofaunal species diversity and community composition in the Flint Hills, Kansas.",Journal of Herpetology,40,73-84
15,"Wilgers, D.J., Horne, E. A., Sandercock, B.K., and Volkmann, A.W.",2006,Effects of rangeland management on community dynamics of the herpetofauna of the tallgrass prairie,Herpetologica,62,378-388
16,"Cobb, V.A. and Summerhill, J.A.",1996,"A one-year study of the species diversity and relative abundance of snakes and lizards in the Jack Mountains region of Hot Spring County, Arkansas.",Proceedings Arkansas Academy of Science,50,120-127
17,"Dobel, H.G., Denno, R.F. and Coddington, J.A.",1990,Spider (Araneae) community structure in an intertidal salt marsh: effects of vegetation structure and tidal flooding.,Environmental Entomology,19,1356-1370
19,"Bell, J.D., Pollard, D.A., Burchmore, J.J., Pease, B.C., and Middleton, M.J.",1984,"Structure of a fish community in a temperate tidal mangrove creek in Botany Bay, New South Wales",Australian Journal of Marine Freshwater Restoration,35,33-46
26,"Carvalho, J.C, Cardoso, P., Crespo, L.C., Henriques, S., Carvalho, R., Gomes, P.",2011,Biogeographic patterns of spiders in coastal dunes along a gradient of mediterraneity creosote bush ecotone in the Chihuahuan Desert,Biodiversity Conservation,,
27,"Moyle, P.B. and Vondracek, B.",1985,Persistence and Structure of the Fish Assemblage in a Small California Stream,Ecology,66,13-Jan
28,"Taylor, C.M., Winston, Matthew, R.W., and Matthews, W.J.",1993,Fish Species-Environment and Abundance Relationships in a Great Plains River System,Ecography,16,16-23
30,"Winemiller, K.O., Tarim, S., Shoremann, D., and Cotner, J.B.",2000,Fish Assemblage Structure in Relation to Environmental Variation among Brazos River Oxbow Lakes,Transactions of the American Fisheries Society,129,451-468
31,"Morrison, M.A., Francis, M.P., Hartill, B.W., and Parkinson, D.M.",2002,Diurnal and Tidal Variation in the Abundance of the Fish Fauna of a Temperate Tidal Mudflat,"Estuarine, Coastal and Shelf Science",54,793-807
32,"Methven, D.A., Haedrich, R.L., and Rose, G.A.",2001,"The Fish Assemblage of a Newfoundland Estuary: Diel, Monthly and Annual Variation ","Estuarine, Coastal and Shelf Science",52,669-687
33,"Gido, K.B., Matthews, W.J., Wolfinbarger, W.C.",2000,Long-Term Changes in a Reservoir Fish Assemblage: Stability in an Unpredictable Environment,Ecological Applications,10,1517-1529
35,"Gelwick, F.P, Akin, S., Arrington, D.A., Winemiller, K.O.",2001,Fish Assemblage Structure in Relation to Environmental Variation in a Texas Gulf Coastal Wetland,Estuaries,24,285-296
