Site_ID,Collection_Year,End_Collection,Citation_ID,Site_Name,Biogeographic_region,Site_notes
1,1994,,1,Konza A,Nearctic,"90 hectares, burned 1980, 1985, 1991"
2,1995,,1,Konza A,Nearctic,"90 hectares, burned 1980, 1985, 1991"
3,1996,,1,Konza A,Nearctic,"90 hectares, burned 1980, 1985, 1991"
4,1995,,1,Konza B,Nearctic,"80 hectares, burned in 1980, 1986, 1991, 1994, 1996"
5,1996,,1,Konza B,Nearctic,"80 hectares, burned in 1980, 1986, 1991, 1994, 19966 hectares, annual burn 1972-1977,  1980, 1991"
6,1995,,1,Konza C,Nearctic,"36 hectares, annual burn 1972-1977,  1980, 1991"
7,1996,,1,Konza C,Nearctic,"36 hectares, annual burn 1972-1977,  1980, 1991"
8,1995,,1,Konza D,Nearctic,"36 hectares, burned 1980, 1991"
9,1996,,1,Konza D,Nearctic,"36 hectares, burned 1980, 1991"
10,1980,,2,Treatment group Af,Nearctic,"Artificial falt, removals monthly for four months"
11,1980,,2,Treatment group Nf,Nearctic,"Natural falt, removals monthly for four months"
12,1980,,2,Treatment group An,Nearctic,"Artificial natural, removals monthly for four months"
13,1980,,2,Treatment group Nn,Nearctic,"Natural natural, removals monthly for four months"
14,1980,,2,Treatment group Ac,Nearctic,"Artificial complex, removals monthly for four months"
15,1980,,2,Treatment group Nc,Nearctic,"Natural complex, removals monthly for four months"
16,1979,,3,June 1979 Jordan Creek,Nearctic,Used electric seine
17,1980,,3,June 1980 Jordan Creek,Nearctic,Used electric seine
18,1979,,3,August 1979 Jordan Creek,Nearctic,Used electric seine
19,1980,,3,August 1980 Jordan Creek,Nearctic,Used electric seine
20,1979,,3,October 1979 Jordan Creek,Nearctic,Used electric seine
21,1980,,3,October 1980 Jordan Creek,Nearctic,Used electric seine
22,1978,,5,Chapparal high grazing,Nearctic,Calculated abundance as abundance for one array in in a 24 hour period
23,1978,,5,Chaparral low grazing,Nearctic,Calculated abundance as abundance for one array in in a 24 hour period
